,,,,,,
设备ID,报文类型,报文说明,报文功能码,原始报文,数据采集时间,数据入库时间
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200892602020806000372d3,2026-02-02 08:06:00,2026-02-02 08:06:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200882602020805231bb3a4,,2026-02-02 08:05:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020088260202080521f1f1109033085350f0f026020208052219000000272b0000000000392300000160371b000000302b000004300020190000001f1900000026190000001a190000003812113503e134,2026-02-02 08:05:00,2026-02-02 08:05:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008826020208050003bee2,2026-02-02 08:05:01,2026-02-02 08:05:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020088260202080400037eb3,2026-02-02 08:04:00,2026-02-02 08:04:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802008826020208030003bf02,2026-02-02 08:03:00,2026-02-02 08:03:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020088260202080200037f53,2026-02-02 08:02:01,2026-02-02 08:02:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020088260202080100037fa3,2026-02-02 08:01:01,2026-02-02 08:01:01
1090330853,下行,均匀时段水文信息报应答,31,7e7e109033085301a0003180080200872602020800361ba1ff,,2026-02-02 08:00:37
1090330853,上行,均匀时段水文信息报,31,7e7e011090330853a00031004e020087260202080034f1f1109033085350f0f0260202070504180000053923ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000016003aed2,2026-02-02 07:05:00,2026-02-02 08:00:37
1090330853,下行,均匀时段水文信息报应答,31,7e7e109033085301a0003180080200862602020800341b0d3f,,2026-02-02 08:00:34
1090330853,上行,均匀时段水文信息报,31,7e7e011090330853a000310042020086260202080033f1f1109033085350f0f0260202070504180000052219ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff00000003d52f,2026-02-02 07:05:00,2026-02-02 08:00:34
1090330853,下行,小时报应答,34,7e7e109033085301a0003480080200852602020800321bbd70,,2026-02-02 08:00:32
1090330853,上行,遥测站小时报,34,7e7e011090330853a00034007e020085260202080031f1f1109033085350f0f02602020705f460ffffffffffffffffffffff00f0f02602020705f5c0ffffffffffffffffffffffffffffffffffffffffffff0010f0f0260202080020190000001a190000001f190000002619000000272b0000000000392300000162371b000000302b00000430003812113803e45a,2026-02-02 08:00:00,2026-02-02 08:00:32
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200842602020800211b87b5,,2026-02-02 08:00:22
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020084260202080021f1f1109033085350f0f026020208002219000000272b0000000000392300000162371b000000302b000004300020190000001f1900000026190000001a19000000381211370302c6,2026-02-02 08:00:00,2026-02-02 08:00:22
